"marca","direc","n_encuestador","sd_01","identidad_genero","edad","año_ingreso_carrera","comuna","clase_social","nivel_educacion_padre","nivel_educacion_madre","ultimo_colegio","ea_01_horas_estudio_semana","ea_02_horas_estudio_fin_semana","descripcion_carga_academica","ea_04_notas_ultimo_semestre","satisfaccion_rendimiento_academico","ea_06_nivel_estres_ultimo_semestre","ea_07_efecto_estres_rendimiento","ea_08","ea_09","ea_10","re_01","re_02","re_03","re_04","re_05","rs_01","rs_02","rs_03","rs_04","rs_05","rs_06","to_01","to_02","to_03","to_04","to_05","to_06","ma_01","ma_02","ma_03","ma_04","ma_05","cm_01","cm_02","cm_03","cm_04","cm_05","cm_06","identidad_genero_r","edad_r","año_ingreso_carrera_r","comuna_r1","comuna_distancia","horas_estudio_semana","notas_ultimo_semestre_intervalo","ea_06_nivel_estres_ultimo_semestre_r","ea_07_efecto_estres_rendimiento_r"
45419.863100081,"sebastianmunozt@gmail.com","gonzalo_","Sí","Mujer cisgénero",18,2024,"lo_prado","Clase social media","Educación Media","Educación Técnica","Público","3 o 4 horas al día","5 o 6 horas por días","Pesada",NA,"Satisfecho",NA,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Cambios en el apetito, Problemas dermatológicos","Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Tomar descansos regulares","Dudas ocasionales","Catolico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a instituciones o personas del mundo académico o científico","A veces","Compartiendo mis preocupaciones con amigos o familiares","TikTok","Instagram","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",5,5,"Si","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","Pop","Reggaetón","En su casa o de familiares., En el transporte público","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Poniente","Vive a distancia cercana","3 o 4 horas al día",NA,NA,"Bastante"
45419.8725730671,"sebastianmunozt@gmail.com","farid_halaby","Sí","Hombre cisgénero",21,2024,"pudahuel","Clase social media","Educación Profesional","Educación Profesional","Particular","1 o 2 horas al día","1 o 2 horas al día","Moderada",NA,"Satisfecho",2,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","No he experimentado síntomas físicos","Participar en otras actividades creativas (música, arte, escritura), me hablo a mi mismo de ello","Dudas ocasionales","Agnóstico","Al menos una vez a la semana. Cuando siento la necesidad.","Sí, asisto","Menos influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","No me estresa","Instagram","Twitter/X","Suficiente tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos., Escuchar música., Salir con amigos / familia., Bailar y/o Cantar","Sí, con un instructor o grupo","Moderadamente importante.",3,4,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","Pop","Cumbia","En su casa o de familiares., En el transporte público, En el lugar de estudio","Muy importante","Hombre cisgenero","21 a 23","post-pandemia","Zona Poniente","Vive a distancia media","1 o 2 horas al día",NA,"Estres Bajo","Moderadamente"
45419.880676331,"sebastianmunozt@gmail.com","martina_","Sí","Mujer cisgénero",19,2023,"lo_espejo","Clase social baja","Educación Media","Educación Media","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Pesada",5.6,"Satisfecho",3,"Moderado","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","Creencia firme","Cristianismo Protestante (Evangélico, anglicano, etcétera)","Varias veces a la semana.","Sí, asisto","Muy influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas.","A veces","Desconectándome temporalmente","TikTok","WhatsApp","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Muy poco importante.",3,3,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Pop","Rock","En su casa o de familiares., En el transporte público, En otros lugares","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Sur","Vive a distancia cercana","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Moderadamente"
45419.8919926042,"sebastianmunozt@gmail.com","martin_cifuentes","Sí","Hombre cisgénero",20,2023,"la_florida","Clase social media","Educación Media","Educación Técnica","Particular subvencionado","5 o 6 horas por días","1 o 2 horas al día","Moderada",5.8,"Satisfecho",3,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño","Ejercicio físico, Organización y planificación del tiempo, Tomar descansos regulares","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas.","No","No me estresa","Instagram","WhatsApp","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Escuchar música., Practicar deporte / ejercitarse.","No, las realizo de forma individual","Muy importante.",8,8,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Metal","Rock","En su casa o de familiares., En el transporte público, En el lugar de estudio","Muy importante","Hombre cisgenero","18 a 20","post-pandemia","Zona Sur","Vive a distancia media","5 o 6 horas por días","5.0 a 5.9","Estres Moderado","Bastante"
45419.8935113542,"sebastianmunozt@gmail.com","valeria_carvajal","Sí","Mujer cisgénero",24,2019,"santiago_centro","Clase social media - baja","Educación Técnica","Educación Profesional","Particular subvencionado","3 o 4 horas al día","1 o 2 horas al día","Ligera",NA,"Insatisfecho",5,"Mucho","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito, Problemas dermatológicos, Tics Nerviosos","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Tomar descansos regulares","Escéptico","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","No me estresa","Instagram","WhatsApp","Bastante tiempo.","1 a 2 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Ver series y / o películas., Jugar videojuegos., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",10,5,"Si","Sí","Baja frecuencia (1 vez a la semana)",7,"Entre 5 a 6 horas.","Rock","Folklore","En su casa o de familiares., En el transporte público, En el lugar de estudio","Importante","Mujer cisgenero","24 a 29","pre-pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día",NA,"Estres Alto","Bastante"
45419.9760672222,"sebastianmunozt@gmail.com","daniela_pasmino","Sí","Hombre cisgénero",30,2021,"maipu","Clase social media","Educación Profesional","Educación Profesional","Particular subvencionado","1 o 2 horas al día","1 o 2 horas al día","Pesada",5.6,"Insatisfecho",5,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Problemas de sueño, Cambios en el apetito","Ejercicio físico, Organización y planificación del tiempo","No creencias","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Seguir a instituciones o personas del mundo académico o científico","No","No me estresa","Instagram","WhatsApp","Poco tiempo.","3 a 4 veces.","Sí, suelo planificar mi tiempo cuidadosamente para equilibrar mis obligaciones académicas y actividades de ocio.","Leer. y/o Escribir, Ver series y / o películas., Practicar deporte / ejercitarse.","No, las realizo de forma individual","Importante.",10,10,"Si","Sí","Alta frecuencia (usualmente todos mis productos)",7,"Entre 1 a 2 horas.","Post Rock","Rock","En el transporte público","Importante","Hombre cisgenero","30 o más","Pandemia","Zona Poniente","Vive a distancia media","1 o 2 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45419.9919287269,"sebastianmunozt@gmail.com","valentina","Sí","Hombre cisgénero",23,2020,"santiago_centro","Clase social media - alta","Educación Profesional","Educación Técnica","Particular subvencionado","1 o 2 horas al día","1 o 2 horas al día","Ligera",6,"Satisfecho",2,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Irritabilidad o enojo, Problemas dermatológicos","Ejercicio físico, Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","Creencia moderada","Agnóstico","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Menos influyente","Entre 3 a 4 horas","Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Seguir a instituciones o personas del mundo académico o científico","No","No me estresa","Youtube","Instagram","Bastante tiempo.","3 a 4 veces.","Sí, suelo planificar mi tiempo cuidadosamente para equilibrar mis obligaciones académicas y actividades de ocio.","Leer. y/o Escribir, Tocar música., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",9,8,"Si","Sí","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Indie chileno","Indie argentino","En otros lugares","Muy importante","Hombre cisgenero","21 a 23","Pandemia","Zona Centro","Vive muy cerca","1 o 2 horas al día","6.0 a 7.0","Estres Bajo","Bastante"
45420.5992425232,"sebastianmunozt@gmail.com","victor_avalos","Sí","Hombre cisgénero",22,2022,"la_cisterna","Clase social media","Educación Media","Educación Técnica","Público","3 o 4 horas al día","1 o 2 horas al día","Pesada",5.8,"Satisfecho",3,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Fatiga, Problemas de sueño, Cambios en el apetito, Tics Nerviosos","Ejercicio físico, Participar en otras actividades creativas (música, arte, escritura)","Dudas ocasionales","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Menos influyente","Entre 1 a 2 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico","No","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Jugar videojuegos., Escuchar música., Tocar música., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",4,4,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","Rock","Boleros","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Hombre cisgenero","21 a 23","post-pandemia","Zona Sur","Vive a distancia cercana","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Bastante"
45420.6244896759,"sebastianmunozt@gmail.com","victor_avalos","Sí","Mujer cisgénero",23,2020,"santiago_centro","Clase social media","Educación Técnica","Educación Media","Público","3 o 4 horas al día","3 o 4 horas al día","Moderada",6.2,"Satisfecho",4,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Problemas dermatológicos, Tics Nerviosos","Organización y planificación del tiempo, Tomar descansos regulares","Escéptico","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos","No","Desconectándome temporalmente","TikTok","Instagram","Poco tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Jugar videojuegos., Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",7,8,"Si","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Rock","Pop","En su casa o de familiares., En el transporte público","Muy importante","Mujer cisgenero","21 a 23","Pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Moderadamente"
45420.6465496296,"sebastianmunozt@gmail.com","pedro_villaroel","Sí","No binarie",21,2021,"santiago_centro","Clase social media - baja","Educación Media","Educación Media","Público","3 o 4 horas al día","1 o 2 horas al día","Pesada",5.3,"Satisfecho",4,"Mucho","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Tensión o dolor muscular, Fatiga, Diarrea","Ejercicio físico, Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","Creencia moderada","Agnóstico","Varias veces a la semana.","No, no he asistido","Moderadamente influyente","Entre 1 a 2 horas","Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","Sí","Desconectándome temporalmente","Instagram","Tumblr","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Jugar videojuegos., Escuchar música., Tocar música., Salir con amigos / familia., Bailar y/o Cantar","No, las realizo de forma individual","Muy importante.",7,9,"No","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Rock","K-Pop","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio","Muy importante","Persona de genero diverso","21 a 23","Pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45420.649034456,"sebastianmunozt@gmail.com","martin_cifuentes","Sí","Mujer cisgénero",22,2020,"san_bernardo","Clase social media","Educación Técnica","Educación Media","Particular subvencionado","3 o 4 horas al día","5 o 6 horas por días","Pesada",6.2,"Satisfecho",5,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Dolor en el pecho, Fatiga, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito","Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Participar en otras actividades creativas (música, arte, escritura)","Creencia firme","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","Varias veces a la semana.","No, no he asistido","Moderadamente influyente","4 horas o más","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura), Obtener información de noticias y eventos, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Desconectándome temporalmente","TikTok","Twitter/X","Suficiente tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos.","No, las realizo de forma individual","Muy importante.",6,3,"Si","Sí","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 5 a 6 horas.","K-Pop","Indie","En su casa o de familiares., En el transporte público, En el lugar de estudio, En otros lugares","Muy importante","Mujer cisgenero","21 a 23","Pandemia","Zona Sur","Vive a mucha distancia","3 o 4 horas al día","6.0 a 7.0","Estres Alto","Moderadamente"
45420.6846227778,"sebastianmunozt@gmail.com","martin_cifuentes","Sí","Mujer cisgénero",21,2022,"puente_alto","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.6,"Insatisfecho",3,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Irritabilidad o enojo","Organización y planificación del tiempo, Participar en otras actividades creativas (música, arte, escritura)","Dudas ocasionales","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","4 horas o más","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","No me estresa","TikTok","Instagram","Poco tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Escuchar música., Salir con amigos / familia.","No, las realizo de forma individual","Importante.",4,5,"No","No","Baja frecuencia (1 vez a la semana)",7,"Entre 5 a 6 horas.","Kpop","Reggaetón","En su casa o de familiares., En casa de amigos., En el transporte público, En el lugar de estudio","Muy importante","Mujer cisgenero","21 a 23","post-pandemia","Zona Sur","Vive a mucha distancia","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Bastante"
45420.7368512847,"sebastianmunozt@gmail.com","martin_cifuentes","Sí","Hombre cisgénero",20,2022,"paine","Clase social media","Educación Profesional","Educación Profesional","Particular","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.5,"Satisfecho",4,"Moderado","A veces, dependiendo de la situación puedo o no identificar si estoy estresado por la universidad.","Dolores de Cabeza, Problemas de sueño, Diarrea","No utilizo estrategias para manejar el estrés académico","Escéptico","Ateo","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","Compartiendo mis preocupaciones con amigos o familiares","TikTok","Instagram","Suficiente tiempo.","3 a 4 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Jugar videojuegos., Practicar deporte / ejercitarse., Salir con amigos / familia.","No, las realizo de forma individual","Moderadamente importante.",5,7,"Si","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Trap","Rock","En el transporte público","Importante","Hombre cisgenero","18 a 20","post-pandemia","Periurbano","Vive a mucha distancia","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Moderadamente"
45420.7417544907,"sebastianmunozt@gmail.com","victor_avalos","Sí","Hombre cisgénero",24,2022,"providencia","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","5 o 6 horas por días","Moderada",5.9,"Satisfecho",3,"Moderado","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Irritabilidad o enojo","Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Tomar descansos regulares","Creencia moderada","Grecorromana","A diario.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","No me estresa","Discord","WhatsApp","Suficiente tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos.","No, las realizo de forma individual","Muy importante.",3,5,"No","No","Baja frecuencia (1 vez a la semana)",6,"Entre 1 a 2 horas.","J-pop","Rock","En su casa o de familiares., En el transporte público, En el lugar de estudio","Importante","Hombre cisgenero","24 a 29","post-pandemia","Zona Centro","Vive muy cerca","3 o 4 horas al día","5.0 a 5.9","Estres Moderado","Moderadamente"
45420.781129456,"sebastianmunozt@gmail.com","martin_cifuentes","Sí","Mujer cisgénero",27,2019,"las_condes","Clase social media - alta","Educación Profesional","Educación Técnica","Particular","1 o 2 horas al día","3 o 4 horas al día","Pesada",NA,"Satisfecho",4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Tensión o dolor muscular, Dolor en el pecho, Problemas de sueño, Irritabilidad o enojo, Diarrea, Cambios en el apetito","Ejercicio físico, Técnicas de relajación (como de respiración o relajación muscular), Organización y planificación del tiempo, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental","Escéptico","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","Varias veces a la semana.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Compartir mi propia vida y experiencias, Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico","No","Desconectándome temporalmente","Instagram","WhatsApp","Poco tiempo.","1 a 2 veces.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Ver series y / o películas., Escuchar música., Practicar deporte / ejercitarse.","Sí, con un instructor o grupo","Importante.",3,3,"Si","No","Baja frecuencia (1 vez a la semana)",7,"Entre 1 a 2 horas.","Rock","Reggaetón","En el transporte público","Muy importante","Mujer cisgenero","24 a 29","pre-pandemia","Zona Oriente","Vive a distancia media","1 o 2 horas al día",NA,"Estres Alto","Bastante"
45420.7872237963,"sebastianmunozt@gmail.com","matilde_cespedes_","Sí","Mujer cisgénero",25,2019,"recoleta","Clase social baja","Educación Media","Educación Media","Público","3 o 4 horas al día","1 o 2 horas al día","Pesada",5.9,NA,4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Fatiga, Problemas de sueño, Irritabilidad o enojo","Técnicas de relajación (como de respiración o relajación muscular), Apoyo social (hablar con amigos/familia), Tomar descansos regulares, Participar en otras actividades creativas (música, arte, escritura)","No creencias","Agnóstico","No mantengo prácticas relacionadas a lo espiritual o lo religioso.","No, no he asistido","No influyente en absoluto","4 horas o más","Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a políticos/as o activistas sociales, Seguir a instituciones o personas del mundo académico o científico","No","Desconectándome temporalmente","TikTok","Instagram","Suficiente tiempo.","Más de 6.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Ver series y / o películas., Jugar videojuegos., Escuchar música., Practicar deporte / ejercitarse., Dibujar / pintar., Salir con amigos / familia., Bailar y/o Cantar","No, las realizo de forma individual","Moderadamente importante.",5,4,"No","No","Baja frecuencia (1 vez a la semana)",5,"Entre 3 a 4 horas.","Trap","Reggaetón","En otros lugares","Poco importante","Mujer cisgenero","24 a 29","pre-pandemia","Zona Norte","Vive muy cerca","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45420.790520706,"sebastianmunozt@gmail.com","matilde_cespedes","Sí","Mujer cisgénero",20,2022,"puente_alto","Clase social media","Educación Profesional","Educación Técnica","Particular subvencionado","3 o 4 horas al día","3 o 4 horas al día","Moderada",5.5,"Insatisfecho",4,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Fatiga, Problemas de sueño, Irritabilidad o enojo, Cambios en el apetito, Tics Nerviosos","Ejercicio físico, Apoyo social (hablar con amigos/familia), Consulta con un profesional de salud mental, Participar en otras actividades creativas (música, arte, escritura)","Creencia moderada","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Moderadamente influyente","Entre 3 a 4 horas","Mantenerse en contacto con amigos y familiares, Consumir contenido de entretenimiento (humor, arte, cultura)","No","No me estresa","Instagram","WhatsApp","Poco tiempo.","3 a 4 veces.","No, no administro mi tiempo de manera óptima cuando tengo muchas obligaciones académicas.","Leer. y/o Escribir, Jugar videojuegos., Salir con amigos / familia.","No, las realizo de forma individual","Muy importante.",7,8,"Si","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 1 a 2 horas.","Rock","Metal","En su casa o de familiares., En el transporte público, En el lugar de estudio","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Sur","Vive a mucha distancia","3 o 4 horas al día","5.0 a 5.9","Estres Alto","Bastante"
45420.7996430903,"sebastianmunozt@gmail.com","matilde_cespedes","Sí","Mujer cisgénero",20,2023,"estacion_central","Clase social media","Educación Profesional","Educación Profesional","Público","5 o 6 horas por días","3 o 4 horas al día","Muy pesada",5.5,"Satisfecho",5,"Bastante","Si, se identificar cuando estoy estresado debido a la universidad","Dolores de Cabeza, Tensión o dolor muscular, Problemas de sueño, Problemas dermatológicos","No utilizo estrategias para manejar el estrés académico","Escéptico","No tengo una afiliación religiosa, pero si me considero una persona espiritual (por ejemplo, creo en las energías).","Al menos una vez a la semana. Cuando siento la necesidad.","No, no he asistido","Menos influyente","4 horas o más","Consumir contenido de entretenimiento (humor, arte, cultura), Seguir a marcas, celebridades, artistas (músicos/as, actores/actrices, humoristas) o deportistas., Obtener información de noticias y eventos, Seguir a instituciones o personas del mundo académico o científico, Participar en grupos o comunidades de interés (Ej: Grupo de Instagram de fans de Los Bunkers)","A veces","Desconectándome temporalmente","Instagram","Twitter/X","Poco tiempo.","Más de 6.","A veces, intento encontrar un equilibrio, pero no siempre lo logro.","Leer. y/o Escribir, Ver series y / o películas., Salir con amigos / familia.","No, las realizo de forma individual","Moderadamente importante.",4,4,"No","No","Frecuencia moderada (de 2 a 3 veces por semana)",7,"Entre 3 a 4 horas.","K-Pop","Trap","En su casa o de familiares., En casa de amigos., En el transporte público","Muy importante","Mujer cisgenero","18 a 20","post-pandemia","Zona Poniente","Vive muy cerca","5 o 6 horas por días","5.0 a 5.9","Estres Alto","Bastante"
